position,velocity,acceleration,jerk,time,energy,reward,episode
-0.0004799082875251771,-0.00959816575050354,-0.09598166,0.959816575050354,0.1,0.0,-1.0003935357385951,1
-0.0023661407828330996,-0.02812648415565491,-0.18528318,0.8930152654647827,0.2,0.0,-0.9970954092214417,1
-0.006499546468257905,-0.05454162955284119,-0.26415145,0.7886826992034912,0.30000000000000004,0.0,-0.9919384441208942,1
-0.013600842952728273,-0.08748430013656616,-0.3294267,0.6527525186538696,0.4,0.0,-0.9852161324170576,1
-0.024246832132339483,-0.12543548345565797,-0.37951183,0.5008512735366821,0.5,0.0,-0.977706261389331,1
-0.03886359035968781,-0.1668996810913086,-0.41464198,0.3513014316558838,0.6,0.0,-0.9703214971781158,1
-0.0577357503771782,-0.21054351925849915,-0.43643838,0.2179640531539917,0.7,0.0,-0.9637518389121392,1
-0.08104258805513383,-0.2555932343006134,-0.45049715,0.1405876874923706,0.7999999999999999,0.0,-0.9599829439870466,1
-0.10890197962522508,-0.30159459710121156,-0.46001363,0.09516477584838867,0.8999999999999999,0.0,-0.9578133964501432,1
-0.14138256937265398,-0.34801719784736634,-0.464226,0.04212379455566406,0.9999999999999999,0.0,-0.9552634318860462,1
-0.17849644869565967,-0.3942603886127472,-0.4624319,0.017940998077392578,1.0999999999999999,0.0,-0.9541555415817471,1
-0.22019190281629566,-0.43964869379997257,-0.45388305,0.08548855781555176,1.2,0.0,-0.9576318725820618,1
-0.26634484946727754,-0.4834102392196656,-0.43761545,0.16267597675323486,1.3,0.0,-0.9615862540640475,1
-0.31674686372280125,-0.5246300458908082,-0.41219807,0.2541738748550415,1.4000000000000001,0.0,-0.966250287820421,1
-0.3711215865612031,-0.5628644108772278,-0.38234365,0.29854416847229004,1.5000000000000002,0.0,-0.9685511805942341,1
-0.4291894447803498,-0.5984927535057069,-0.35628343,0.2606022357940674,1.6000000000000003,0.0,-0.9667305847156353,1
-0.4907040268182755,-0.6317988872528076,-0.33306134,0.23222088813781738,1.7000000000000004,0.0,-0.9653828039719596,1
-0.5554439866542817,-0.6630003094673157,-0.31201422,0.21047115325927734,1.8000000000000005,0.0,-0.9643619001956474,1
-0.6232073420286179,-0.6922667980194092,-0.2926649,0.19349336624145508,1.9000000000000006,0.0,-0.9635752906254907,1
-0.6938073176145554,-0.7197327136993408,-0.27465916,0.18005728721618652,2.0000000000000004,0.0,-0.962961782125517,1
-0.7670692273974419,-0.7455054819583893,-0.25772768,0.16931474208831787,2.1000000000000005,0.0,-0.9624792227495451,1
-0.842828078866005,-0.7696715474128724,-0.24166065,0.16067028045654297,2.2000000000000006,0.0,-0.9620980483534408,1
-0.9209266915917397,-0.792300707101822,-0.2262916,0.15369057655334473,2.3000000000000007,0.0,-0.9617967626188376,1
-1.001214193701744,-0.8134493350982667,-0.21148628,0.14805316925048828,2.400000000000001,0.0,-0.9615593814714353,1
-1.0835448002815247,-0.833162796497345,-0.19713461,0.1435166597366333,2.500000000000001,0.0,-0.9613739485177419,1
-1.1677768054604531,-0.8514773070812226,-0.1831451,0.13989508152008057,2.600000000000001,0.0,-0.9612312578168317,1
-1.2537717428803445,-0.8684214413166047,-0.16944134,0.13703763484954834,2.700000000000001,0.0,-0.9611238440474167,1
-1.3413936781883242,-0.8840172648429871,-0.15595824,0.13483107089996338,2.800000000000001,0.0,-0.961046104309244,1
-1.430508608222008,-0.8982813358306886,-0.14264071,0.13317525386810303,2.9000000000000012,0.0,-0.9609930784936243,1
-1.5209839478135112,-0.9112254559993745,-0.1294412,0.1319950819015503,3.0000000000000013,0.0,-0.96096104703106,1
-1.6126880881190304,-0.9228573501110079,-0.11631894,0.13122260570526123,3.1000000000000014,0.0,-0.960946638340629,1
-1.7054900196194653,-0.9331812798976901,-0.1032393,0.1307964324951172,3.2000000000000015,0.0,-0.9609468003827109,1
-1.7992590108513837,-0.9421985447406771,-0.09017265,0.13066649436950684,3.3000000000000016,0.0,-0.9609590401744277,1
-1.8938643366098409,-0.949907970428467,-0.07709426,0.13078391551971436,3.4000000000000017,0.0,-0.9609809182038325,1
-1.9891750532388692,-0.9563063621520997,-0.06398392,0.13110339641571045,3.5000000000000018,0.0,-0.9610101686031043,1
-2.0850598195195205,-0.9613889634609224,-0.050826013,0.13157904148101807,3.600000000000002,0.0,-0.9610444914958157,1
-2.1813867619633682,-0.9651498854160311,-0.03760922,0.13216793537139893,3.700000000000002,0.0,-0.9610817327022364,1
-2.2780233833193786,-0.967582541704178,-0.024326563,0.132826566696167,3.800000000000002,0.0,-0.9611197058211995,1
-2.3748365160822877,-0.968680113554001,-0.0109757185,0.13350844383239746,3.900000000000002,0.0,-0.961156073972651,1
-2.4716923227906236,-0.9684360206127168,0.0024409294,0.13416647911071777,4.000000000000002,0.0,-0.9611884699676729,1
-2.56845634430647,-0.9668444097042085,0.01591611,0.1347517967224121,4.100000000000001,0.0,-0.9612144377006125,1
-2.664993596971036,-0.9639006435871126,0.029437661,0.13521552085876465,4.200000000000001,0.0,-0.961231522554352,1
-2.7611687204241764,-0.959601825475693,0.04298818,0.13550519943237305,4.300000000000001,0.0,-0.9612370936629798,1
-2.8568461760878576,-0.953947287797928,0.056545377,0.13557195663452148,4.4,0.0,-0.9612287025490767,1
-2.9518904963135735,-0.9469391167163851,0.07008171,0.13536334037780762,4.5,0.0,-0.9612037265890936,1
-3.046166584193708,-0.9385826408863069,0.08356476,0.13483047485351562,4.6,0.0,-0.9611597276727543,1
-3.139540059268476,-0.9288868606090548,0.0969578,0.13393044471740723,4.699999999999999,0.0,-0.9610945723349703,1
