2000,140.87,0,0,1
1999,139.35,1.3137,22.222,1
1998,138.72,1.8574,22.222,1
1997,138.23,2.2746,22.222,1
1996,137.83,2.6262,22.222,1
1995,137.47,2.9358,22.222,1
1994,137.14,3.2158,22.222,1
1993,136.84,3.4733,22.222,1
1992,136.56,3.7128,22.222,1
1991,136.3,3.9378,22.222,1
1990,136.05,4.1506,22.222,1
1989,135.82,4.3528,22.222,1
1988,135.59,4.5461,22.222,1
1987,135.38,4.7314,22.222,1
1986,135.17,4.9097,22.222,1
1985,134.97,5.0817,22.222,1
1984,134.78,5.2481,22.222,1
1983,134.59,5.4094,22.222,1
1982,134.41,5.5658,22.222,1
1981,134.23,5.7183,22.222,1
1980,134.06,5.8664,22.222,1
1979,133.89,6.0111,22.222,1
1978,133.73,6.1522,22.222,1
1977,133.56,6.2903,22.222,1
1976,133.41,6.4253,22.222,1
1975,133.25,6.5575,22.222,1
1974,133.1,6.6869,22.222,1
1973,132.95,6.8142,22.222,1
1972,132.81,6.9389,22.222,1
1971,132.67,7.0614,22.222,1
1970,132.53,7.1817,22.222,1
1969,132.39,7.3,22.222,1
1968,132.25,7.4167,22.222,1
1967,132.12,7.5314,22.222,1
1966,131.99,7.6442,22.222,1
1965,131.86,7.7556,22.222,1
1964,131.73,7.8653,22.222,1
1963,131.6,7.9733,22.222,1
1962,131.48,8.08,22.222,1
1961,131.35,8.1856,22.222,1
1960,131.23,8.2894,22.222,1
1959,131.11,8.3919,22.222,1
1958,130.99,8.4933,22.222,1
1957,130.88,8.5936,22.222,1
1956,130.76,8.6928,22.222,1
1955,130.65,8.7906,22.222,1
1954,130.53,8.8872,22.222,1
1953,130.42,8.9831,22.222,1
1952,130.31,9.0778,22.222,1
1951,130.2,9.1717,22.222,1
1950,130.09,9.2644,22.222,1
1949,129.99,9.3561,22.222,1
1948,129.88,9.4472,22.222,1
1947,129.77,9.5372,22.222,1
1946,129.67,9.6264,22.222,1
1945,129.57,9.7147,22.222,1
1944,129.46,9.8022,22.222,1
1943,129.36,9.8892,22.222,1
1942,129.26,9.9753,22.222,1
1941,129.16,10.061,22.222,1
1940,129.06,10.145,22.222,1
1939,128.96,10.229,22.222,1
1938,128.87,10.312,22.222,1
1937,128.77,10.394,22.222,1
1936,128.68,10.476,22.222,1
1935,128.58,10.557,22.222,1
1934,128.49,10.638,22.222,1
1933,128.39,10.718,22.222,1
1932,128.3,10.797,22.222,1
1931,128.21,10.876,22.222,1
1930,128.12,10.954,22.222,1
1929,128.02,11.032,22.222,1
1928,127.93,11.109,22.222,1
1927,127.84,11.185,22.222,1
1926,127.76,11.261,22.222,1
1925,127.67,11.337,22.222,1
1924,127.58,11.412,22.222,1
1923,127.49,11.486,22.222,1
1922,127.4,11.56,22.222,1
1921,127.32,11.634,22.222,1
1920,127.23,11.707,22.222,1
1919,127.15,11.779,22.222,1
1918,127.06,11.851,22.222,1
1917,126.98,11.923,22.222,1
1916,126.9,11.994,22.222,1
1915,126.81,12.065,22.222,1
1914,126.73,12.134,22.222,1
1913,126.65,12.203,22.222,1
1912,126.57,12.271,22.222,1
1911,126.48,12.338,22.222,1
1910,126.4,12.405,22.222,1
1909,126.32,12.471,22.222,1
1908,126.24,12.536,22.222,1
1907,126.16,12.6,22.222,1
1906,126.08,12.664,22.222,1
1905,126.01,12.727,22.222,1
1904,125.93,12.789,22.222,1
1903,125.85,12.851,22.222,1
1902,125.77,12.912,22.222,1
1901,125.69,12.973,22.222,1
1900,125.62,13.033,22.222,1
1899,125.54,13.093,22.222,1
1898,125.46,13.151,22.222,1
1897,125.39,13.21,22.222,1
1896,125.31,13.268,22.222,1
1895,125.24,13.325,22.222,1
1894,125.16,13.382,22.222,1
1893,125.09,13.438,22.222,1
1892,125.01,13.494,22.222,1
1891,124.94,13.549,22.222,1
1890,124.87,13.604,22.222,1
1889,124.79,13.659,22.222,1
1888,124.72,13.713,22.222,1
1887,124.65,13.766,22.222,1
1886,124.57,13.819,22.222,1
1885,124.5,13.872,22.222,1
1884,124.43,13.924,22.222,1
1883,124.36,13.976,22.222,1
1882,124.29,14.027,22.222,1
